dataset,negative_pair_id,shared_accuracy_pair_id,shared_raw_score,cold_pair_raw_score,raw_score_text_equal,raw_score_abs_delta,status_equal,error_code_equal,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,exact_reproducibility
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001088_00001089,shared_imp_evaluation_01_00001088_00001089,14.768563196609978,14.768563196609978,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001469_00001470,shared_imp_evaluation_01_00001469_00001470,0.0,0.0,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001636_00001637,shared_imp_evaluation_01_00001636_00001637,1.1670059688128798,1.1670059688128798,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001641_00001642,shared_imp_evaluation_01_00001641_00001642,0.9995234611482404,0.9995234611482404,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001648_00001649,shared_imp_evaluation_01_00001648_00001649,2.911291694681153,2.911291694681153,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_01_00001719_00001720,shared_imp_evaluation_01_00001719_00001720,1.4514786975867284,1.4514786975867284,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_02_00001036_00001037,shared_imp_evaluation_02_00001036_00001037,2.395313350327726,2.395313350327726,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_02_00001152_00001153,shared_imp_evaluation_02_00001152_00001153,2.671251082862177,2.671251082862177,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_02_00001177_00001178,shared_imp_development_02_00001177_00001178,2.482880293535435,2.482880293535435,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_02_00001185_00001186,shared_imp_evaluation_02_00001185_00001186,0.0,0.0,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_02_00001587_00001588,shared_imp_evaluation_02_00001587_00001588,1.9410459574939758,1.9410459574939758,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_03_00001297_00001298,shared_imp_evaluation_03_00001297_00001298,10.570698023589994,10.570698023589994,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_03_00001560_00001561,shared_imp_evaluation_03_00001560_00001561,0.4236624790425911,0.4236624790425911,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_03_00001678_00001679,shared_imp_evaluation_03_00001678_00001679,17.695729490159692,17.695729490159692,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_03_00001679_00001680,shared_imp_evaluation_03_00001679_00001680,1.6275449815312055,1.6275449815312055,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_03_00001694_00001695,shared_imp_evaluation_03_00001694_00001695,4.709955549582706,4.709955549582706,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001038_00001039,shared_imp_evaluation_04_00001038_00001039,0.014039486373638374,0.014039486373638374,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001128_00001129,shared_imp_evaluation_04_00001128_00001129,1.6210969022852733,1.6210969022852733,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001265_00001266,shared_imp_evaluation_04_00001265_00001266,1.1534666612403417,1.1534666612403417,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001357_00001358,shared_imp_evaluation_04_00001357_00001358,1.0941460528279867,1.0941460528279867,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001362_00001363,shared_imp_development_04_00001362_00001363,0.25480820660673115,0.25480820660673115,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001377_00001378,shared_imp_evaluation_04_00001377_00001378,6.7217722303402745,6.7217722303402745,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001446_00001447,shared_imp_evaluation_04_00001446_00001447,0.023653678175034568,0.023653678175034568,true,0.0,true,true,true,true,true,true
sd300b,sd300b_plain_roll_next_subject_impostor_04_00001566_00001567,shared_imp_evaluation_04_00001566_00001567,0.0,0.0,true,0.0,true,true,true,true,true,true
