subject_id,canonical_finger_position,sd300b_plain_self_raw_score,sd300b_roll_self_raw_score,sd300b_plain_roll_raw_score,sd300c_plain_self_raw_score,sd300c_roll_self_raw_score,sd300c_plain_roll_raw_score
00001000,1,1177.9539965186484,1177.9539965186484,110.01934110762956,1107.797666607576,1177.9539965186484,135.02288618340845
00001000,2,198.64435184859735,1118.684960262099,57.36656979331658,221.96124815026528,1177.9539965186484,48.172915641402696
00001000,3,326.8872815077707,1177.9539965186484,83.32405743647807,326.8872815077707,1177.9539965186484,69.0382498085857
00001000,4,303.57038520610286,1177.9539965186484,38.36792507271839,315.2288333569368,1177.9539965186484,57.057576212690435
00001000,5,653.3238293693438,1177.9539965186484,5.649330144421114,630.006933067676,1177.9539965186484,4.24250113972457
00001000,6,1026.3941705578072,1177.9539965186484,71.41245985515198,944.7850331401922,1177.9539965186484,106.0208216349402
00001000,7,408.496418201831,1177.9539965186484,43.581667023227666,396.8379700509971,1177.9539965186484,46.588795304122236
00001000,8,315.2288333569368,1177.9539965186484,0.0,338.5457296586046,1177.9539965186484,1.1655782269606825
00001000,9,513.4224519211136,1177.9539965186484,21.708974366931777,431.81331450349893,1177.9539965186484,33.81616564308497
00001000,10,793.225207179351,1106.8311538790545,0.0,804.8836553301849,1177.9539965186484,0.3568606680727854
00001001,2,1061.369515010309,1177.9539965186484,56.125004416688085,1131.3202039153127,1166.1001890502716,65.11906550771894
00001001,3,723.2745182743473,1177.9539965186484,3.3264420218528152,769.9083108776832,1177.9539965186484,63.543875196872065
00001001,4,863.1758960843549,1000.1468895578862,230.79374515091553,909.8096886876905,1035.7083112394607,222.3832854201195
00001001,5,501.7640037702798,988.2930824512873,70.81980339148356,583.37314046434,1012.0006970262625,65.4611128666094
00001001,7,839.8589997826866,1177.9539965186484,117.0198493027443,816.5421034810189,1177.9539965186484,156.61181495423114
00001001,8,781.5667590285171,1177.9539965186484,185.73217505659233,769.9083108776832,1177.9539965186484,201.92615435166
00001001,9,641.6653812185099,1177.9539965186484,204.652001070008,699.9576219726795,1177.9539965186484,183.73758029176605
00001001,10,385.1795219001631,1000.1468895578862,94.62523876952368,373.5210741111065,1012.3435719282174,94.112302545347
00001002,1,1177.9539965186484,711.6160701235136,43.514635700411304,874.573865627502,734.9329664251815,0.5958771341824303
00001002,2,303.57038520610286,560.0562438008951,104.57600752468991,280.253488904435,536.7393482227816,121.14495148387073
00001002,3,560.0562438008951,920.7445851505057,55.57992086772236,571.7146919517289,874.8343442351886,61.439706066882955
00001002,4,221.96124815026528,583.37314046434,70.67584453620049,198.64435184859735,594.6485318391642,74.27995032446896
00001002,5,291.9119366934916,606.3143464664598,103.85711358856504,315.2288333569368,606.690036766008,157.87918344494688
00001002,6,723.2745182743473,874.8343442351886,210.72249934120197,641.6653812185099,991.1889916779221,196.23735834270346
00001002,7,455.1302108051667,373.5210741111065,20.396854154353793,478.44710710683466,431.81331450349893,50.58955378280254
00001002,8,478.44710710683466,723.2745182743473,136.56461588726717,490.1055552576685,746.5914145760153,117.93703533693001
00001002,9,571.7146919517289,69.50512088332607,0.9554483430185323,501.7640037702798,140.35211109442767,1.7174811518053716
00001002,10,385.1795219001631,384.58752506451145,96.80026843269418,408.496418201831,466.30026156658806,163.02872571631985
00001003,1,1049.711066859475,1177.9539965186484,143.45638038740793,898.1512405368564,1177.9539965186484,151.83815748126636
00001003,2,350.20417780943853,1166.1001890502716,11.69303480128347,338.5457296586046,1177.9539965186484,2.060315081472105
00001003,3,699.9576219726795,1177.9539965186484,85.04960976640385,664.9822775201776,1177.9539965186484,46.649142209848655
00001003,4,583.37314046434,1177.9539965186484,37.45046771614406,583.37314046434,1177.9539965186484,26.921061920505764
00001003,5,676.6407256710116,1106.8311538790545,117.48363012742192,606.690036766008,1177.9539965186484,100.19673083415404
00001003,6,1177.9539965186484,1177.9539965186484,122.33423472785269,1177.9539965186484,1130.5387680922524,103.32567454240484
