dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id
sd300c,00001000,1,ok,1107.797666607576,ok,1177.9539965186484,sd300c_plain_roll_00001000_01
sd300c,00001000,2,ok,221.96124815026528,ok,1177.9539965186484,sd300c_plain_roll_00001000_02
sd300c,00001000,3,ok,326.8872815077707,ok,1177.9539965186484,sd300c_plain_roll_00001000_03
sd300c,00001000,4,ok,315.2288333569368,ok,1177.9539965186484,sd300c_plain_roll_00001000_04
sd300c,00001000,5,ok,630.006933067676,ok,1177.9539965186484,sd300c_plain_roll_00001000_05
sd300c,00001000,6,ok,944.7850331401922,ok,1177.9539965186484,sd300c_plain_roll_00001000_06
sd300c,00001000,7,ok,396.8379700509971,ok,1177.9539965186484,sd300c_plain_roll_00001000_07
sd300c,00001000,8,ok,338.5457296586046,ok,1177.9539965186484,sd300c_plain_roll_00001000_08
sd300c,00001000,9,ok,431.81331450349893,ok,1177.9539965186484,sd300c_plain_roll_00001000_09
sd300c,00001000,10,ok,804.8836553301849,ok,1177.9539965186484,sd300c_plain_roll_00001000_10
sd300c,00001001,2,ok,1131.3202039153127,ok,1166.1001890502716,sd300c_plain_roll_00001001_02
sd300c,00001001,3,ok,769.9083108776832,ok,1177.9539965186484,sd300c_plain_roll_00001001_03
sd300c,00001001,4,ok,909.8096886876905,ok,1035.7083112394607,sd300c_plain_roll_00001001_04
sd300c,00001001,5,ok,583.37314046434,ok,1012.0006970262625,sd300c_plain_roll_00001001_05
sd300c,00001001,7,ok,816.5421034810189,ok,1177.9539965186484,sd300c_plain_roll_00001001_07
sd300c,00001001,8,ok,769.9083108776832,ok,1177.9539965186484,sd300c_plain_roll_00001001_08
sd300c,00001001,9,ok,699.9576219726795,ok,1177.9539965186484,sd300c_plain_roll_00001001_09
sd300c,00001001,10,ok,373.5210741111065,ok,1012.3435719282174,sd300c_plain_roll_00001001_10
sd300c,00001002,1,ok,874.573865627502,ok,734.9329664251815,sd300c_plain_roll_00001002_01
sd300c,00001002,2,ok,280.253488904435,ok,536.7393482227816,sd300c_plain_roll_00001002_02
sd300c,00001002,3,ok,571.7146919517289,ok,874.8343442351886,sd300c_plain_roll_00001002_03
sd300c,00001002,4,ok,198.64435184859735,ok,594.6485318391642,sd300c_plain_roll_00001002_04
sd300c,00001002,5,ok,315.2288333569368,ok,606.690036766008,sd300c_plain_roll_00001002_05
sd300c,00001002,6,ok,641.6653812185099,ok,991.1889916779221,sd300c_plain_roll_00001002_06
sd300c,00001002,7,ok,478.44710710683466,ok,431.81331450349893,sd300c_plain_roll_00001002_07
sd300c,00001002,8,ok,490.1055552576685,ok,746.5914145760153,sd300c_plain_roll_00001002_08
sd300c,00001002,9,ok,501.7640037702798,ok,140.35211109442767,sd300c_plain_roll_00001002_09
sd300c,00001002,10,ok,408.496418201831,ok,466.30026156658806,sd300c_plain_roll_00001002_10
sd300c,00001003,1,ok,898.1512405368564,ok,1177.9539965186484,sd300c_plain_roll_00001003_01
sd300c,00001003,2,ok,338.5457296586046,ok,1177.9539965186484,sd300c_plain_roll_00001003_02
sd300c,00001003,3,ok,664.9822775201776,ok,1177.9539965186484,sd300c_plain_roll_00001003_03
sd300c,00001003,4,ok,583.37314046434,ok,1177.9539965186484,sd300c_plain_roll_00001003_04
sd300c,00001003,5,ok,606.690036766008,ok,1177.9539965186484,sd300c_plain_roll_00001003_05
sd300c,00001003,6,ok,1177.9539965186484,ok,1130.5387680922524,sd300c_plain_roll_00001003_06
sd300c,00001003,7,ok,396.8379700509971,ok,1177.9539965186484,sd300c_plain_roll_00001003_07
sd300c,00001003,8,ok,618.3484849168419,ok,1177.9539965186484,sd300c_plain_roll_00001003_08
sd300c,00001003,9,ok,583.37314046434,ok,1141.0023092807967,sd300c_plain_roll_00001003_09
sd300c,00001003,10,ok,490.1055552576685,ok,1177.9539965186484,sd300c_plain_roll_00001003_10
sd300c,00001004,1,ok,1177.9539965186484,ok,1177.9539965186484,sd300c_plain_roll_00001004_01
sd300c,00001004,2,ok,431.81331450349893,ok,1177.9539965186484,sd300c_plain_roll_00001004_02
sd300c,00001004,3,ok,583.37314046434,ok,1166.1001890502716,sd300c_plain_roll_00001004_03
sd300c,00001004,4,ok,595.031588615174,ok,1154.2463823054504,sd300c_plain_roll_00001004_04
sd300c,00001004,5,ok,443.4717626543328,ok,1177.9539965186484,sd300c_plain_roll_00001004_05
sd300c,00001004,6,ok,1177.9539965186484,ok,1071.2697325592574,sd300c_plain_roll_00001004_06
sd300c,00001004,7,ok,198.64435184859735,ok,1177.9539965186484,sd300c_plain_roll_00001004_07
sd300c,00001004,8,ok,595.031588615174,ok,1154.2463823054504,sd300c_plain_roll_00001004_08
sd300c,00001004,9,ok,886.4927923860226,ok,1177.9539965186484,sd300c_plain_roll_00001004_09
sd300c,00001004,10,ok,233.61969630109917,ok,1171.0359399559215,sd300c_plain_roll_00001004_10
sd300c,00001005,1,ok,350.20417780943853,ok,559.6492459763845,sd300c_plain_roll_00001005_01
sd300c,00001005,4,ok,653.3238293693438,ok,1106.8311538790545,sd300c_plain_roll_00001005_04
sd300c,00001005,5,ok,396.8379700509971,ok,1177.9539965186484,sd300c_plain_roll_00001005_05
sd300c,00001005,6,ok,1177.9539965186484,ok,1177.9539965186484,sd300c_plain_roll_00001005_06
sd300c,00001005,7,ok,699.9576219726795,ok,1177.9539965186484,sd300c_plain_roll_00001005_07
sd300c,00001005,8,ok,548.3977963736156,ok,1177.9539965186484,sd300c_plain_roll_00001005_08
sd300c,00001005,9,ok,921.4681368385244,ok,1166.1001890502716,sd300c_plain_roll_00001005_09
sd300c,00001005,10,ok,525.0809000719476,ok,1177.9539965186484,sd300c_plain_roll_00001005_10
